CatID,OrgID,Type
25,5990,Discharge
25,6000,Discharge
25,6010,Discharge
25,6020,Discharge
25,6030,Discharge
25,6040,Discharge
29,6050,Discharge
25,6060,Discharge
25,6070,Discharge
25,6080,Discharge
25,6090,Discharge
25,6100,Discharge
25,6110,Discharge
25,6120,Discharge
25,6130,Discharge
25,6140,Discharge
25,6150,Discharge
25,6160,Discharge
25,6170,Discharge
25,6180,Discharge
25,6190,Discharge
25,6200,Discharge
25,6210,Discharge
25,6220,Discharge
25,6230,Discharge
34,6240,Discharge
25,6250,Discharge
25,6260,Discharge
25,6270,Discharge
25,6280,Discharge
25,6290,Discharge
25,6300,Discharge
25,6310,Discharge
25,6320,Discharge
25,6330,Discharge
25,6340,Discharge
25,6350,Discharge
25,6360,Discharge
25,6370,Discharge
25,6380,Discharge
25,6390,Discharge
25,6400,Discharge
25,6410,Discharge
25,6420,Discharge
25,6430,Discharge
25,6440,Discharge
25,6450,Discharge
25,6460,Discharge
25,6470,Discharge
25,6480,Discharge
25,6490,Discharge
25,6500,Discharge
25,6510,Discharge
25,6520,Discharge
25,6530,Discharge
25,6540,Discharge
25,6550,Discharge
25,6560,Discharge
25,6570,Discharge
25,6580,Discharge
25,6590,Discharge
25,6600,Discharge
25,6610,Discharge
25,6620,Discharge
25,6630,Discharge
25,6640,Discharge
25,6650,Discharge
25,6660,Discharge
25,6670,Discharge
25,6680,Discharge
25,6690,Discharge
25,6700,Discharge
25,6710,Discharge
25,6720,Discharge
25,6730,Discharge
25,6740,Discharge
25,6750,Discharge
25,6760,Discharge
25,6770,Discharge
25,6780,Discharge
25,6790,Discharge
25,6800,Discharge
25,6810,Discharge
25,6820,Discharge
25,6830,Discharge
28,6840,Discharge
28,6850,Discharge
28,6860,Discharge
28,6870,Discharge
28,6880,Discharge
28,6890,Discharge
28,6900,Discharge
28,6910,Discharge
29,6920,Discharge
29,6930,Discharge
29,6940,Discharge
29,6950,Discharge
29,6960,Discharge
29,6970,Discharge
29,6980,Discharge
29,6990,Discharge
29,7000,Discharge
29,7010,Discharge
29,7020,Discharge
29,7030,Discharge
29,7040,Discharge
29,7050,Discharge
29,7060,Discharge
29,7070,Discharge
29,7080,Discharge
29,7090,Discharge
29,7100,Discharge
29,7110,Discharge
29,7120,Discharge
29,7130,Discharge
29,7140,Discharge
29,7150,Discharge
29,7160,Discharge
29,7170,Discharge
29,7180,Discharge
29,7190,Discharge
29,7200,Discharge
29,7210,Discharge
29,7220,Discharge
29,7230,Discharge
29,7240,Discharge
29,7250,Discharge
29,7260,Discharge
29,7270,Discharge
29,7280,Discharge
29,7290,Discharge
29,7300,Discharge
29,7310,Discharge
29,7320,Discharge
29,7330,Discharge
29,7340,Discharge
29,7350,Discharge
29,7360,Discharge
29,7370,Discharge
29,7380,Discharge
29,7390,Discharge
29,7400,Discharge
29,7410,Discharge
29,7420,Discharge
29,7430,Discharge
29,7440,Discharge
29,7450,Discharge
29,7460,Discharge
29,7470,Discharge
29,7480,Discharge
29,7490,Discharge
29,7500,Discharge
29,7510,Discharge
29,7520,Discharge
29,7530,Discharge
29,7540,Discharge
29,7550,Discharge
29,7560,Discharge
29,7570,Discharge
29,7580,Discharge
29,7590,Discharge
29,7600,Discharge
29,7610,Discharge
29,7620,Discharge
29,7630,Discharge
29,7640,Discharge
29,7650,Discharge
29,7660,Discharge
29,7670,Discharge
29,7680,Discharge
29,7690,Discharge
29,7700,Discharge
29,7710,Discharge
29,7720,Discharge
29,7730,Discharge
29,7740,Discharge
29,7750,Discharge
29,7760,Discharge
29,7770,Discharge
29,7780,Discharge
29,7790,Discharge
29,7800,Discharge
29,7810,Discharge
29,7820,Discharge
29,7830,Discharge
29,7840,Discharge
29,7850,Discharge
29,7860,Discharge
29,7870,Discharge
29,7880,Discharge
29,7890,Discharge
29,7900,Discharge
29,7910,Discharge
29,7920,Discharge
29,7930,Discharge
29,7940,Discharge
29,7950,Discharge
29,7960,Discharge
29,7970,Discharge
29,7980,Discharge
29,7990,Discharge
29,8000,Discharge
29,8010,Discharge
29,8020,Discharge
29,8030,Discharge
29,8040,Discharge
29,8050,Discharge
29,8060,Discharge
29,8070,Discharge
29,8080,Discharge
29,8090,Discharge
29,8100,Discharge
29,8110,Discharge
29,8120,Discharge
29,8130,Discharge
29,8140,Discharge
29,8150,Discharge
29,8160,Discharge
29,8170,Discharge
29,8180,Discharge
29,8190,Discharge
29,8200,Discharge
29,8210,Discharge
29,8220,Discharge
29,8230,Discharge
29,8240,Discharge
29,8250,Discharge
29,8260,Discharge
29,8270,Discharge
29,8280,Discharge
29,8290,Discharge
29,8300,Discharge
29,8310,Discharge
29,8320,Discharge
29,8330,Discharge
29,8340,Discharge
29,8350,Discharge
29,8360,Discharge
29,8370,Discharge
29,8380,Discharge
29,8390,Discharge
29,8400,Discharge
29,8410,Discharge
29,8420,Discharge
29,8430,Discharge
29,8440,Discharge
29,8450,Discharge
29,8460,Discharge
29,8470,Discharge
29,8480,Discharge
29,8490,Discharge
29,8500,Discharge
29,8510,Discharge
29,8520,Discharge
29,8530,Discharge
29,8540,Discharge
29,8550,Discharge
29,8560,Discharge
29,8570,Discharge
29,8580,Discharge
29,8590,Discharge
29,8600,Discharge
29,8610,Discharge
29,8620,Discharge
29,8630,Discharge
29,8640,Discharge
29,8650,Discharge
29,8660,Discharge
